(0.10853, 0.79643, 3.87555),
(0.10844, 0.79761, 3.87858),
(0.10830, 0.79948, 3.88337),
(0.10821, 0.80069, 3.88646),
(0.10812, 0.80192, 3.88963),
(0.10804, 0.80310, 3.89264),
(0.10795, 0.80432, 3.89576),
(0.10787, 0.80541, 3.89856),
(0.10771, 0.80751, 3.90392),
(0.10763, 0.80863, 3.90680),
(0.10755, 0.80971, 3.90958),
(0.10747, 0.81082, 3.91240),
(0.10740, 0.81173, 3.91475),
(0.10732, 0.81286, 3.91763),
(0.10725, 0.81379, 3.92002),
(0.10718, 0.81472, 3.92240),
(0.10708, 0.81617, 3.92610),
(0.10700, 0.81715, 3.92863),
(0.10692, 0.81828, 3.93151),
(0.10685, 0.81920, 3.93387),
(0.10678, 0.82015, 3.93631),
(0.10672, 0.82103, 3.93857),
(0.10666, 0.82184, 3.94064),
(0.10658, 0.82288, 3.94329),
(0.10653, 0.82365, 3.94527),
(0.10647, 0.82439, 3.94716),
(0.10641, 0.82527, 3.94943),
(0.10635, 0.82608, 3.95150),
(0.10629, 0.82682, 3.95338),
(0.10624, 0.82749, 3.95510),
(0.10619, 0.82819, 3.95689),
(0.10614, 0.82886, 3.95862),
(0.10609, 0.82963, 3.96058),
(0.10605, 0.83017, 3.96197),
(0.10600, 0.83085, 3.96371),
(0.10595, 0.83145, 3.96524),
(0.10591, 0.83200, 3.96664),
(0.10587, 0.83264, 3.96830),
(0.10582, 0.83328, 3.96994),
(0.10578, 0.83379, 3.97123),
(0.10574, 0.83438, 3.97275),
(0.10570, 0.83489, 3.97405),
(0.10566, 0.83539, 3.97534),
(0.10563, 0.83591, 3.97667),
(0.10559, 0.83638, 3.97787),
(0.10556, 0.83686, 3.97910),
(0.10551, 0.83750, 3.98074),
(0.10548, 0.83794, 3.98186),
(0.10544, 0.83846, 3.98319),
(0.10541, 0.83891, 3.98434),
(0.10537, 0.83934, 3.98545),
(0.10533, 0.83988, 3.98684),
(0.10530, 0.84028, 3.98787),
(0.10528, 0.84068, 3.98888),
(0.10524, 0.84112, 3.99000),
(0.10522, 0.84149, 3.99095),
(0.10518, 0.84204, 3.99238),
(0.10515, 0.84242, 3.99334),
(0.10512, 0.84277, 3.99424),
(0.10510, 0.84311, 3.99512),
(0.10507, 0.84349, 3.99607),
(0.10504, 0.84385, 3.99700),
(0.10501, 0.84425, 3.99802),
(0.10499, 0.84460, 3.99893),
(0.09676, 0.83981, 4.00099),
(0.09673, 0.84015, 4.00187),
(0.08836, 0.83341, 4.00645),
(0.07731, 0.82612, 4.00946),
(0.06895, 0.81881, 4.01266),
(0.05506, 0.80911, 4.01693),
(0.04132, 0.80413, 4.01834),
(0.04126, 0.80439, 4.01907),
(0.03841, 0.80212, 4.02066),
(0.03279, 0.79724, 4.02288),
(0.03275, 0.79741, 4.02338),
(0.02717, 0.79508, 4.02466),
(0.02711, 0.79530, 4.02530),
(0.02154, 0.79295, 4.02651),
(0.02148, 0.79315, 4.02710),
(0.01863, 0.79076, 4.02841),
(0.01858, 0.79097, 4.02901),
(0.01303, 0.79123, 4.02944),
(0.01298, 0.79139, 4.02993),
(0.01012, 0.78901, 4.03129),
(0.01007, 0.78918, 4.03179),
(0.00447, 0.78677, 4.03288),
(0.00441, 0.78695, 4.03341),
(-0.00393, 0.78452, 4.03430),
(-0.00399, 0.78470, 4.03484),
(-0.01230, 0.78490, 4.03493),
(-0.01235, 0.78503, 4.03535),
(-0.01515, 0.78519, 4.03566),
(-0.01521, 0.78536, 4.03616)
